date,game_id,home_team,away_team,home_score,away_score,home_win,total_runs,home_pitcher,home_pitcher_era,home_pitcher_whip,home_bullpen_era,home_ops,home_avg,home_slg,home_era,home_whip,home_last5,away_pitcher,away_pitcher_era,away_pitcher_whip,away_bullpen_era,away_ops,away_avg,away_slg,away_era,away_whip,away_last5
2025-07-06,777219,Chicago Cubs,St. Louis Cardinals,11,0,1,11,Daniel Palencia,1.71,0.9615384615384616,,0.779,0.257,0.451,3.78,0.7777777777777778,,Matt Svanson,3.74,0.9905660377358492,,0.713,0.251,0.392,4.08,2.25,
2025-07-06,777226,Cleveland Guardians,Detroit Tigers,2,7,0,9,Emmanuel Clase,3.29,1.3648293963254592,,0.656,0.224,0.361,3.96,1.1,,Chase Lee,2.05,0.9271523178807948,,0.748,0.253,0.425,3.46,0.8,
2025-07-06,777206,Los Angeles Dodgers,Houston Astros,1,5,0,6,Ben Casparius,4.68,1.233108108108108,3.807142857142857,0.79,0.26,0.454,4.33,1.4444444444444444,"W, W, L, L, L",Framber Valdez,2.9,1.1478260869565218,4.078888888888889,0.738,0.261,0.412,3.48,0.8888888888888888,"W, L, W, W, W"
2025-07-06,777207,San Diego Padres,Texas Rangers,4,1,1,5,Yuki Matsui,4.81,1.4156626506024097,,0.69,0.246,0.374,3.66,0.7777777777777778,,Shawn Armstrong,3.13,0.9164420485175202,,0.662,0.228,0.366,3.23,1.875,
2025-07-06,777210,Athletics,San Francisco Giants,2,6,0,8,Luis Severino,5.3,1.3955637707948243,,0.728,0.248,0.412,5.32,1.4444444444444444,,Scott Alexander,6.06,1.6770186335403725,,0.686,0.231,0.374,3.44,1.3333333333333333,
2025-07-06,777214,Toronto Blue Jays,Los Angeles Angels,3,2,1,5,Ryan Burr,0.0,1.818181818181818,,0.731,0.258,0.402,4.19,1.5555555555555556,,Connor Brogdon,5.25,1.25,,0.702,0.228,0.404,4.47,1.25,
2025-07-06,777213,Washington Nationals,Boston Red Sox,4,6,0,10,Shinnosuke Ogasawara,13.5,3.1818181818181817,,0.704,0.247,0.39,5.16,1.4444444444444444,,Walker Buehler,6.25,1.5833333333333333,,0.751,0.254,0.426,3.96,2.0,
2025-07-06,777205,Seattle Mariners,Pittsburgh Pirates,1,0,1,1,Logan Evans,2.96,1.2610619469026547,,0.728,0.247,0.406,3.77,0.5555555555555556,,Paul Skenes,1.94,0.9224137931034484,,0.644,0.231,0.341,3.61,0.875,
2025-07-06,777215,Colorado Rockies,Chicago White Sox,6,4,1,10,Victor Vodnik,2.39,1.3026819923371646,,0.675,0.231,0.383,5.51,1.5555555555555556,,Steven Wilson,1.59,1.2455516014234875,,0.642,0.222,0.346,4.1,1.5,
2025-07-06,777218,Arizona Diamondbacks,Kansas City Royals,0,4,0,4,Eduardo Rodriguez,5.78,1.6294349540078843,,0.772,0.252,0.445,4.72,1.1111111111111112,,Sam Long,10.29,2.0,,0.664,0.243,0.365,3.48,0.4444444444444444,
